id,code_zone,lib_zone,date_ech,date_dif,code_pol,lib_pol,etat,couleur,com_court,com_long,longitude,latitude
80,2000,Bassin Grenoblois,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5.502455281,45.26341871
81,2000,Bassin Grenoblois,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5.502455281,45.26341871
82,2000,Bassin Grenoblois,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5.502455281,45.26341871
83,2000,Bassin Grenoblois,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5.502455281,45.26341871
84,2000,Bassin Grenoblois,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5.502455281,45.26341871
85,2005,Est Drôme,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5.227543156,45.077226313
86,2005,Est Drôme,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5.227543156,45.077226313
87,2005,Est Drôme,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5.227543156,45.077226313
88,2005,Est Drôme,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5.227543156,45.077226313
89,2005,Est Drôme,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5.227543156,45.077226313
90,2005,Est Drôme,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5.227543156,45.077226313
91,2009,Vallée du Rhône,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,4.549298192,44.32463879
92,2009,Vallée du Rhône,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,4.549298192,44.32463879
93,2009,Vallée du Rhône,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,4.549298192,44.32463879
94,2009,Vallée du Rhône,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,4.549298192,44.32463879
95,2009,Vallée du Rhône,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,5,Particules PM10,INFORMATION ET RECOMMANDATION,#FEFE00,"Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu","Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu",4.549298192,44.32463879
96,2009,Vallée du Rhône,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,5,Particules PM10,INFORMATION ET RECOMMANDATION,#FEFE00,"Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu","Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu",4.549298192,44.32463879
97,2015,Zone Alpine Haute-Savoie,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,"[6.730509586, 45.965363275]","[6.732043451, 46.000595567]"
98,2015,Zone Alpine Haute-Savoie,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,"[6.730509586, 45.965363275]","[6.732043451, 46.000595567]"
99,2015,Zone Alpine Haute-Savoie,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,"[6.730509586, 45.965363275]","[6.732043451, 46.000595567]"
100,2015,Zone Alpine Haute-Savoie,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,"[6.730509586, 45.965363275]","[6.732043451, 46.000595567]"
101,2015,Zone Alpine Haute-Savoie,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,"[6.730509586, 45.965363275]","[6.732043451, 46.000595567]"
102,2015,Zone Alpine Haute-Savoie,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,"[6.730509586, 45.965363275]","[6.732043451, 46.000595567]"
103,2018,Puy-de-Dôme,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,3.103709691,45.354134286
104,2018,Puy-de-Dôme,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,3.103709691,45.354134286
105,2018,Puy-de-Dôme,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,3.103709691,45.354134286
106,2018,Puy-de-Dôme,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,3.103709691,45.354134286
