code_insee_commune,axe,x_deb,y_deb,x_fin,y_fin,longueur,code_traficolor
931313106.0,A51,891531.6,6259567.0,891531.6,6259567.0,433,MA13
931313071.0,A55,887070.0,6256909.0,886395.0,6257631.0,499,MA13
251414118.0,N814,453326.84,6904811.0,452324.44,6904883.5,688,CA14
931313071.0,A7,888626.3,6259205.0,888626.3,6259205.0,497,MA13
251414118.0,N814,453328.44,6904829.0,452323.66,6904901.0,690,CA14
733131555.0,A61,578311.44,6278340.0,578565.8,6276391.5,2198,TO31
723333039.0,A631,420611.4,6417667.0,420611.4,6417667.0,490,BX33
931313106.0,A7,890367.06,6258436.0,890544.1,6257460.0,496,MA13
748787085.0,A20,567591.9,6533559.0,567213.5,6532419.0,1122,LI87
931313005.0,A502,909064.0,6246110.0,910033.0,6246165.0,510,MA13
931313106.0,A51,891531.6,6259567.0,891531.6,6259567.0,502,MA13
931313071.0,A7,888626.3,6259205.0,889599.1,6259018.5,505,MA13
733131555.0,A61,577241.75,6282079.0,577241.75,6282079.0,698,TO31
733131555.0,A61,577216.8,6282074.5,577216.8,6282074.5,699,TO31
931313106.0,A7,890367.06,6258436.0,890643.2,6256469.0,2338,MA13
748787085.0,A20,567595.56,6534386.5,567591.9,6533559.0,1220,LI87
931313071.0,A552,886992.0,6258788.0,886992.0,6258788.0,507,MA13
237676503.0,A151,556457.94,6938906.0,557935.7,6940270.5,1440,RO76
237676503.0,A151,556451.1,6938916.0,557920.44,6940276.0,1438,RO76
931313005.0,A502,909064.0,6246110.0,910033.0,6246165.0,512,MA13
931313106.0,A51,890942.6,6258775.5,891531.6,6259567.0,503,MA13
931313055.0,A507,897010.06,6245971.5,897010.06,6245971.5,129,MA13
931313071.0,A7,889599.1,6259018.5,889599.1,6259018.5,498,MA13
733131555.0,A61,577106.1,6283075.5,577216.8,6282074.5,599,TO31
723333318.0,A630,411230.72,6417593.5,412498.6,6416469.0,710,BX33
733131555.0,A61,577130.6,6283079.5,577241.75,6282079.0,599,TO31
723333318.0,A630,411234.62,6417595.0,412498.3,6416473.5,705,BX33
415454328.0,A33,934351.0,6841210.0,935922.0,6840105.0,2574,NA54
415454328.0,A33,934375.0,6841202.0,935926.0,6840117.0,2096,NA54
237676541.0,A150,553938.44,6936805.0,553250.25,6937543.0,951,RO76
237676541.0,A150,553919.56,6936799.0,553236.06,6937527.5,948,RO76
931313106.0,A51,890942.6,6258775.5,890942.6,6258775.5,497,MA13
723333550.0,A62,418863.3,6415162.5,418863.3,6415162.5,1050,BX33
748787085.0,A20,566250.3,6529093.5,566489.56,6528310.0,1121,LI87
931313071.0,A7,889599.1,6259018.5,890385.0,6258442.0,500,MA13
748787085.0,A20,566265.8,6529090.0,566508.94,6528314.0,1117,LI87
733131555.0,A62,576626.56,6283912.5,576626.56,6283912.5,135,TO31
723333550.0,A62,418888.9,6415116.0,419272.78,6413551.5,674,BX33
723333550.0,A62,418863.3,6415162.5,419268.72,6413549.0,674,BX33
723333550.0,A62,418888.9,6415116.0,418888.9,6415116.0,1050,BX33
733131555.0,A62,576643.6,6283930.5,576643.6,6283930.5,137,TO31
237676540.0,N31,564326.0,6927981.0,565281.2,6928035.5,1013,RO76
931313071.0,A55,886395.0,6257631.0,886395.0,6257631.0,497,MA13
237676540.0,N31,564357.5,6927860.0,565287.4,6928027.0,1013,RO76
931313005.0,A501,906833.56,6246549.0,906833.56,6246549.0,500,MA13
931313015.0,A51,893275.94,6261691.5,893275.94,6261691.5,687,MA13
524444020.0,N844,352848.34,6684539.5,352053.62,6685136.5,836,NA44
524444020.0,N844,352071.25,6685144.0,352071.25,6685144.0,743,NA44
931313005.0,A50,906910.4,6246586.0,906910.4,6246586.0,429,MA13
931313055.0,A55,890515.0,6251715.0,890195.0,6252649.0,502,MA13
931313055.0,A7,891431.1,6254781.5,891431.1,6254781.5,590,MA13
723333080.0,A62,419568.0,6412608.0,419568.0,6412608.0,606,BX33
723333080.0,A62,419557.0,6412605.0,419557.0,6412605.0,606,BX33
723333550.0,A62,419272.78,6413551.5,419568.0,6412608.0,704,BX33
723333550.0,A62,419268.72,6413549.0,419557.0,6412605.0,704,BX33
931313055.0,A7,891357.5,6255774.0,891357.5,6255774.0,498,MA13
237676157.0,A150,558408.3,6930437.0,557785.2,6931212.5,910,RO76
237676157.0,A150,558438.3,6930448.0,557810.4,6931226.0,915,RO76
733131555.0,A621,572394.0,6281800.0,571463.6,6281905.0,665,TO31
733131555.0,A621,572394.0,6281800.0,571470.44,6281894.0,659,TO31
931313005.0,A50,906910.4,6246586.0,907849.3,6246668.0,534,MA13
931313055.0,A55,890515.0,6251715.0,890515.0,6251715.0,501,MA13
931313055.0,A7,891431.1,6254781.5,891633.44,6253799.5,531,MA13
723333192.0,A63,412424.34,6415734.5,410668.1,6414789.0,1247,BX33
723333192.0,A63,412408.56,6415755.5,410653.56,6414812.0,1697,BX33
733131069.0,A621,570544.94,6281580.5,570544.94,6281580.5,256,TO31
733131069.0,A621,570546.8,6281568.0,570546.8,6281568.0,670,TO31
733131069.0,A621,570544.94,6281580.5,570544.94,6281580.5,168,TO31
237676322.0,N338,557699.94,6923134.5,557105.9,6923913.5,868,RO76
931313005.0,A50,907849.3,6246668.0,907849.3,6246668.0,481,MA13
237676322.0,N338,557700.25,6923134.0,557105.9,6923913.5,883,RO76
931313019.0,A51,892379.94,6261248.0,892379.94,6261248.0,199,MA13
733131433.0,A64,568762.5,6270409.5,569924.06,6272031.5,1353,TO31
733131433.0,A64,568778.44,6270395.0,569944.8,6272018.0,1354,TO31
237676484.0,A13,558761.44,6917696.0,553853.6,6917303.0,5492,RO76
931313055.0,A55,890349.0,6253544.0,890349.0,6253544.0,499,MA13
237676484.0,A13,557740.75,6917798.5,555830.7,6917327.5,2466,RO76
733131555.0,A620,571106.5,6279792.0,570544.9,6278999.5,695,TO31
